Date,Timefile,Time,Frame,Size (cm),Direction,Notes,
May 9,23:03,23:36:39,1878/2820,86,down,,
May 11,23:40,05:45:11,1460/2828,87,down,,
May 11,23:10,23:10:12,55/2841,54,up,,
May 11,23:10,23:13:50,1080/2841,"59,60,60",up,,
May 11,23:10,23:19:04,2575/2841,59,up,,
May 12,01:20,01:29:06,2577/2834,80,down,,
May 12,01:50,01:56:42,1897/2829,55,down,,
May 12,01:50,01:57:21,2085/2829,59,up,,
May 12,01:50,01:58:49,2493/2829,55,down,,
May 12,02:10,02:18:14,2328/2823,70,up,,
May 12,02:00,02:00:48,222/2855,76,down,,
May 12,04:20,04:21:05,300/2828,65,down,,
May 13,01:20,01:20:49,228/2826,57,up,,
May 13,01:20,01:25:26,1541/2826,66,down,,
May 13,01:20,01:27:47,2200/2826,72,down,,
May 13,01:20,01:29:19,2632/2826,88,down,,
May 13,04:00,04:02:17,633/2811,88,down,,
May 13,20:20,20:22:59,834/2848,82,up,,
May 13,23:50,23:56:59,1974/2832,59,up,,
May 14,00:40,00:46:48,1749/2848,70,up,,
May 14,00:30,00:35:33,1566/2840,70,down,,
May 14,23:50,11:37:41,2166/2872,50,up,,
May 15,01:50,01:56:27,1847/2852,67,up,,
May 15,01:50,01:57:18,2087/2852,67,down,,
May 15,02:20,02:22:19,658/2830,69,down,,
May 15,02:20,02:27:24,2096/2830,75,down,,
May 15,23:40,23:41:06,303/2817,80,down,,
May 15,23:40,23:48:52,2504/2817,51,down,,
May 15,23:40,23:49:24,2655/2817,53,down,,
May 16,05:00,05:00:39,184/2811,61,up,,
May 16,22:50,22:56:53,1948/2832,82,down,,
May 16,22:50,22:58:31,2413/2832,66,down,,
May 16,23:00,23:00:37,166/2810,74,down,,
May 17,23:00,23:00:23,102/2806,53,up,,
May 18,02:50,02:51:55,540/2838,69,down,,
May 18,04:40,04:48:55,2530/2814,76,down,,
May 18,20:00,20:06:10,1745/2830,57,up,,
May 18,20:00,20:06:10,1745/2830,53,up,,
May 18,20:00,20:09:41,2742/2830,57,down,,
May 18,20:00,20:09:41,2742/2830,53,down,,
May 18,23:40,23:46:30,1821/2811,56,up,,
May 18,23:40,23:48:04,2269/2811,51,up,,
May 19,00:20,00:21:44,473/2801,59,up,,
May 19,01:00,01:01:33,427/2824,53,up,,
May 19,23:00,23:06:49,1919/2818,87,down,,
May 20,00:00,00:08:38,2425/2813,70,down,,
May 20,02:30,02:36:02,1697/2822,70,down,,
May 22,01:00,01:05:33,1557/2814,58,up,,
May 22,02:10,02:12:58,817/2894,80,down,,
May 22,02:10,02:18:33,2393/2794,69,down,,
May 22,03:00,03:07:41,2149/2805,59,up,,
May 22,03:00,03:09:21,2624/2805,57,up,,
May 22,04:50,04:54:19,1202/2799,59,up,,
May 22,06:30,06:38:29,2399/2818,86,down,,
May 23,01:10,01:12:11,592/2781,80,down,,
May 23,01:10,01:12:22,646/2781,65,down,,
May 23,01:10,01:18:10,2264/2781,52,up,,
May 23,05:10,05:18:47,2441/2784,56,down,,
May 23,21:10,21:19:28,2631/2772,75,down,,
May 23,23:20,23:24:05,1129/2764,75,down,,
May 24,00:00,00:00:03,12/2761,57,up,,
May 24,00:50,00:51:03,286/2791,57,up,,
May 24,00:50,00:58:15,2300/2791,54,up,,
May 24,01:50,01:51:54,523/2782,58,up,,
May 24,03:30,03:32:16,626/2787,75,up,,
May 24,04:10,04:14:32,1265/2783,56,up,,
May 24,04:10,04:15:39,1580/2783,56,up,,
May 24,22:50,22:59:41,2671/2759,82,down,otter?,
May 24,23:00,23:01:29,393/2774,55,up,,
May 24,23:00,23:01:29,393/2774,56,up,,
May 24,23:00,23:07:31,2086/2774,68,up,,
May 24,23:00,23:07:23,2047/2774,59,down,,
May 25,00:40,00:48:30,2390/2811,55,up,,
May 25,02:20,02:24:28,1230/2777,56,up,,
May 25,05:10,05:11:08,307/2798,56,up,,
May 25,05:10,05:16:34,1832/2798,60,down,,
May 25,05:10,05:16:57,1943/2798,75,down,,
May 25,21:20,21:20:51,239/2794,70,up,otter?,
May 25,21:40,21:49:27,2642/2797,70,down,otter?,
May 26,01:20,01:21:34,435/2789,59,down,,
May 26,01:20,01:29:08,1158/2789,59,up,,
May 26,01:20,01:29:04,2531/2789,61,up,,
May 26,01:10,01:11:44,471/2801,54,up,,
May 26,01:10,01:14:21,1214/2801,60,up,,
May 26,01:10,01:17:17,2034/2801,60,up,,
May 26,01:10,01:19:19,2606/2801,61,up,,
May 26,02:10,02:14:42,1317/2797,50,up,,
May 26,02:10,02:17:14,2019/2797,61,up,,
May 26,02:40,02:42:03,562/2798,55,up,,
May 26,05:10,05:10:44,186/2775,54,up,,
May 26,22:00,22:04:30,1263/2808,93,up,otter,
May 26,22:40,22:48:11,2276/2793,57,up,,
May 27,00:30,00:35:50,1619/2783,83,up,otter,
May 27,01:10,01:14:09,1157/2798,63,down,,
May 27,01:30,01:35:14,1459/2789,57,up,,
May 27,01:30,01:37:56,2211/2789,54,up,,
May 27,02:00,02:08:58,2445/2735,81,up,otter,
May 27,02:10,02:10:24,106/2780,58,up,,
May 27,02:10,02:14:35,1269/2780,56,up,,
May 27,03:30,03:31:35,431/2788,62,up,,
May 27,03:30,03:36:06,1702/2788,61,up,,
May 27,05:20,05:22:41,733/2789,50,up,,
May 27,05:20,05:28:40,2414/2789,50,down,,
May 27,06:20,06:29:32,2663/2794,60,up,,
May 27,06:20,06:29:32,2663/2794,51,up,,
May 27,22:00,22:02:54,791/2761,70,down,otter,
May 28,00:50,00:51:50,514/2783,58,up,,
May 28,00:50,00:54:25,1222/2783,78,down,,
May 28,00:20,00:20:15,65/2763,57,up,,
May 28,00:20,00:24:18,1184/2763,53,up,,
May 28,01:30,01:31:21,381/2780,97,up,,
May 28,01:30,01:31:39,462/2780,59,up,,
May 28,01:30,01:34:13,1173/2780,54,up,,
May 28,01:00,01:01:56,518/2770,55,up,,
May 28,01:00,01:06:21,1754/2770,59,down,,
May 28,01:00,01:07:46,2152/2770,64,up,,
May 28,03:10,03:16:45,1879/2760,61,up,,
May 28,03:30,03:32:55,819/2766,90,up,otter,
May 28,03:30,03:39:44,2691/2766,56,up,,
May 28,04:40,04:40:44,195/2770,56,up,,
May 28,04:40,04:43:59,1096/2770,54,up,,
May 28,04:40,04:43:59,1096/2770,55,up,,
May 28,04:40,04:48:02,2227/2770,53,up,,
May 28,21:00,21:08:46,2438/2774,92,down,otter,
May 28,22:00,22:09:24,2618/2774,90,down,otter,
May 29,00:50,00:52:58,810/2765,58,up,,
May 29,00:50,00:53:14,880/2765,53,up,,
May 29,00:50,00:53:52,1065/2765,51,up,,
May 29,00:50,00:54:15,1165/2765,55,down,,
May 29,00:50,00:54:42,1287/2765,56,down,,
May 29,00:50,00:57:16,2011/2765,61,up,,
May 29,00:50,00:57:42,2117/2765,53,up,,
May 29,00:50,00:58:49,2436/2765,52,up,,
May 29,01:50,01:56:14,1739/2767,59,up,,
May 29,01:50,01:59:46,2701/2767,55,up,,
May 29,01:40,01:41:28,396/2759,60,up,,
May 29,02:50,02:56:29,1771/2759,57,up,,
May 29,02:50,02:57:06,1953/2759,50,up,,
May 29,02:50,02:57:25,2038/2759,57,up,,
May 29,04:30,04:35:43,1586/2763,78,down,otter,
May 29,04:30,04:39:44,2689/2763,59,up,,
May 29,04:10,04:13:55,1090/2782,58,up,,
May 29,05:40,05:44:52,1340/2776,127,down,,
May 29,21:30,21:37:42,2120/2752,80,up,otter,
May 29,22:50,22:53:46,1039/2768,55,up,,
May 29,22:50,22:57:53,2184/2768,87,up,otter,
May 29,23:20,23:23:24,928/2762,50,down,,
May 30,01:50,01:55:00,1394/2777,49,up,*re-cut to starting frame 1390 to fit fish,
May 30,01:50,01:59:14,2568/2777,60,up,,
May 30,01:10,01:16:52,1899/2764,55,up,,
May 30,01:10,01:17:41,2127/2764,59,up,,
May 30,02:20,02:25:30,1521/2744,57,up,,
May 30,02:20,02:25:37,1554/2744,56,up,,
May 30,02:20,02:27:12,1985/2744,56,up,,
May 30,03:30,03:37:18,2025/2770,54,up,,
May 30,03:30,03:37:19,2028/2770,55,up,,
May 30,03:30,03:38:18,2300/2770,55,up,,
May 30,03:50,03:57:01,1941/2771,52,up,*Corrected,
May 30,04:10,04:18:32,2354/2758,58,up,,
May 30,04:00,04:04:47,1320/2751,61,up,,
May 30,21:40,21:47:19,2005/2751,86,down,otter,
May 30,22:50,22:58:04,2230/2760,59,up,,
May 30,22:50,22:58:04,2230/2760,55,up,,
May 30,23:40,23:41:22,380/2755,56,up,,
May 30,23:40,23:47:00,1971/2755,74,down,,
May 31,01:50,01:53:19,919/2768,58,down,,
May 31,01:50,01:59:03,2514/2768,53,up,,
May 31,02:00,02:01:25,375/2742,56,down,,
May 31,02:00,02:01:51,504/2742,54,up,,
May 31,02:00,02:02:27,657/2742,56,down,,
May 31,02:30,02:31:12,332/2725,92,down,otter,
May 31,03:40,03:47:06,1966/2750,122,up,otter,
May 31,04:40,04:45:40,1564/2756,56,down,,
May 31,04:40,04:45:40,1564/2756,52,down,,
May 31,04:30,04:34:00,1099/2757,59,up,,
May 31,04:30,04:34:00,1099/2757,57,up,,
May 31,05:40,05:43:18,913/2751,63,down,,
May 31,05:40,05:46:12,1717/2751,54,up,,
May 31,05:40,05:46:05,1683/2751,52,up,,
May 31,05:40,05:47:16,2008/2751,56,down,,
May 31,05:10,05:10:16,64/2737,58,down,,
May 31,20:50,20:57:43,2146/2784,72,down,,
May 31,21:50,21:57:14,2005/2778,73,down,,
May 31,21:50,21:58:14,2298/2778,84,up,,
May 31,21:40,21:45:33,1524/2742,75,up,,
May 31,21:40,00:01:18,356/2782,52,up,"*Not sure where the error is in this line, but the fish location in the ARIS file was unclear so I skipped it.",
June 1,00:00,00:01:18,356/2782,57,NA,,
June 1,00:20,00:26:23,1771/2776,50,up,,
June 1,00:20,00:28:35,2382/2776,59,up,,
June 1,01:20,01:24:19,1182/2774,50,up,,
June 1,02:20,02:20:10,39/2753,56,up,,
June 1,02:20,02:21:01,265/2753,56,down,,
June 1,02:20,02:22:11,589/2753,55,up,,
June 1,02:30,02:36:00,1633/2737,55,up,,
June 1,03:40,03:49:26,2639/2789,57,up,,
June 1,03:10,03:12:23,673/2727,91,down,otter,
June 1,04:30,04:33:56,1075/2732,59,up,,
June 1,04:30,04:33:58,1083/2732,59,up,,
June 1,04:30,04:37:18,2008/2732,59,down,,
June 1,05:50,05:55:28,1487/2741,76,up,otter,
June 1,20:50,20:54:57,1360/2748,55,down,,
June 1,20:40,20:48:38,2362/2744,57,up,,
June 2,00:10,00:15:17,1451/2756,51,up,,
June 2,00:10,00:19:17,2548/2756,48,up,,
June 2,00:20,00:28:38,2389/2770,54,up,,
June 2,01:40,01:42:53,762/2748,51,up,,
June 2,02:10,02:16:52,1909/2779,53,up,,
June 2,02:10,02:19:55,2758/2779,48,up,,
June 2,03:30,03:34:04,1129/2777,54,up,,
June 2,03:50,03:58:37,2366/2750,58,up,,*re-cut to change start frame to 2266
June 2,04:10,04:19:16,2562/2767,46,up,,
June 2,05:10,05:10:41,180/2788,50,up,,
June 2,05:10,05:17:31,2093/2788,62,up,,
June 2,05:20,05:22:51,789/2778,56,up,,
June 3,00:20,00:23:00,820/2761,48,up,,
June 3,00:20,00:23:47,1038/2761,58,up,,
June 3,00:50,00:55:57,1654/2783,47,up,,
June 3,00:50,00:57:24,2070/2783,56,up,,
June 3,00:50,00:57:25,2073/2783,55,up,,
June 3,01:30,01:39:23,2603/2782,48,up,,
June 3,02:00,02:05:34,1541/2778,57,up,,
June 3,02:00,02:05:51,1622/2778,79,down,otter,
June 3,04:40,04:45:08,1417/2775,56,up,,
June 3,04:00,04:04:34,1281/2768,53,up,,*re-cut to change start frame to1271
June 3,06:30,06:39:05,2519/2772,76,up,otter,
June 3,06:10,06:17:28,2063/2753,81,up,otter,
June 3,20:10,20:12:25,2068/2792,71,up,otter,
June 3,22:10,22:10:27,122/2789,71,up,otter,
June 3,23:10,23:12:40,744/2773,53,up,,
June 4,01:40,01:49:45,2698/2770,51,up,,
June 4,01:00,01:04:35,1269/2777,97,up,otter,
June 4,03:20,03:26:54,1916/2775,72,up,otter,
June 4,03:40,03:47:28,2067/2971,NA,down,blob,"*no label for this item, was not entered"
June 4,04:10,04:11:20,367/2784,60,up,,
June 4,05:40,05:40:30,133/2715,70,up,otter,
June 4,05:40,05:48:55,2415/2715,69,up,otter,
June 4,23:50,23:50:54,245/2760,58,up,,
June 5,00:20,00:23:20,919/2766,45,up,,
June 5,00:10,00:12:46,758/2775,45,up,,
June 5,01:20,01:20:22,90/2770,51,up,,
June 5,01:20,01:22:13,605/2770,50,up,,
June 5,04:20,04:20:07,30/2797,54,up,,
June 5,21:30,04:39:56,2750/2768,77,up,otter,
June 5,21:00,21:00:41,179/2789,71,up,otter,
June 5,23:50,23:53:41,1021/2802,57,up,,
June 5,23:50,23:53:42,1030/2802,46,up,,
June 5,23:50,23:53:43,1033/2802,49,up,,
June 5,23:50,23:54:22,1222/2802,56,up,,
June 5,23:50,23:55:11,1449/2802,49,up,,
June 5,23:50,23:59:13,2584/2802,48,up,,
June 6,00:00,00:00:22,92/2790,53,up,,*re-cut to change start frame to 82
June 6,00:00,00:01:28,596/2790,54,up,,"*data entry error, corresponding frame to the time recorded is 400/2790"
June 6,00:50,00:52:51,777/2756,54,up,,*re-cut to change start frame to 767
June 6,00:50,00:55:11,1429/2756,58,up,,
June 6,00:50,00:55:51,1610/2756,60,up,,
June 6,01:20,01:21:43,472/2777,54,up,,
June 6,01:20,01:26:59,1438/2772,46,up,,"*data entry error, corresponding frame to the time recorded is 1935/2777"
June 6,02:40,02:40:13,57/2747,55,up,,
June 6,03:00,03:08:52,2451/2748,63,up,,
June 6,04:30,04:37:42,2126/2749,45,up,,
June 6,22:30,22:31:54,509/2755,84,up,otter,
June 7,00:40,00:49:04,2515/2773,87,up,otter,
June 7,01:00,01:00:11,49/2795,53,up,,
June 7,01:20,01:21:35,430/2776,51,up,,
June 7,02:40,02:47:56,2156/2728,53,up,,
June 7,02:40,02:48:40,2335/2728,58,up,,
June 7,02:40,02:48:36,2335/2728,60,up,,
June 7,02:30,02:32:02,564/2786,81,up,otter,
June 7,02:30,02:35:16,1467/2786,55,up,,
June 7,02:30,02:31:10,1722/2786,54,up,,
June 7,03:50,03:55:38,1548/2768,57,up,,
June 7,03:50,03:56:37,1821/2768,57,up,,
June 7,03:50,03:59:11,2537/2768,47,up,,
June 7,04:10,04:12:56,805/2779,51,up,,
June 7,04:10,04:13:15,892/2779,53,up,,
June 7,04:10,04:18:17,2294/2779,59,up,,
June 7,04:10,04:18:19,2300/2779,58,up,,
June 7,20:40,20:41:55,520/2790,75,down,otter,
June 7,22:00,22:00:35,160/2799,90,up,otter,
June 7,22:00,22:08:44,2443/2799,60,down,,
June 7,23:30,23:31:19,338/2757,54,up,,
June 7,23:30,23:31:19,342/2757,58,up,,
June 7,23:30,23:31:20,343/2757,58,up,,
June 7,23:30,23:31:20,343/2757,54,up,,
June 7,23:30,23:31:21,351/2757,51,NA,,
June 7,23:30,23:31:21,351/2757,48,up,,
June 7,23:30,23:31:22,354/2757,51,NA,,
June 7,23:30,23:35:21,1437/2757,54,up,,
June 7,23:30,23:36:51,1870/2757,73,down,otter,
June 8,00:00,00:00:42,181/2783,45,up,,
June 8,00:20,00:28:37,2415/2802,53,up,,
June 8,01:30,01:34:38,1292/2792,51,up,,
June 8,01:30,01:36:54,1928/2792,52,up,,
June 8,01:30,01:37:33,2111/2792,52,up,,
June 8,01:30,01:38:01,2246/2792,79,up,otter,
June 8,01:00,01:00:07,20/2782,58,up,,*re-cut to change start frame to 10
June 8,01:00,01:00:36,162/2782,52,up,,
June 8,01:00,01:02:20,644/2782,60,up,,
June 8,02:00,02:01:29,400/2771,49,down,,
June 8,02:00,02:05:41,1572/2771,52,up,,
June 8,02:00,02:08:15,2289/2771,57,up,,
June 8,02:00,02:08:17,2301/2771,49,up,,
June 8,02:00,02:08:38,2395/2771,50,up,,
June 8,02:20,02:21:10,329/2809,58,up,*Yellow cells corrected from 2:10,
June 8,02:20,02:21:39,459/2809,57,up,,
June 8,02:20,02:21:43,476/2809,53,up,,
June 8,02:20,02:22:21,659/2809,59,up,,
June 8,02:20,02:27:00,1462/2809,53,up,*Orange cell corrected to 1962/2809,
June 8,03:50,03:51:13,322/2795,47,up,,
June 8,03:50,03:52:20,640/2795,72,down,otter,
June 8,03:50,03:53:23,938/2795,79,up,otter,
June 8,03:50,03:55:28,1524/2795,51,up,,
June 8,03:50,03:59:14,2576/2795,55,up,,
June 8,03:00,03:00:26,108/2808,50,↻,,
June 8,03:00,03:01:27,396/2808,54,↻,,
June 8,03:00,03:07:33,2128/2808,55,up,,
June 8,04:40,04:44:08,1160/2807,54,up,,
June 8,04:40,04:44:08,1160/2807,52,up,,
June 8,04:40,04:44:08,1160/2807,59,up,,
June 8,04:50,04:54:00,1117/2808,59,down,,
June 8,04:50,04:54:00,1117/2808,51,down,,
June 8,20:10,20:12:51,787/2809,89,up,otter,
June 8,23:30,23:35:52,1648/2810,56,up,,
June 8,23:30,23:36:43,1887/2810,53,down,239,
June 8,23:30,23:38:26,2373/2810,55,up,725,
June 8,23:30,23:38:27,2378/2810,55,up,,
June 9,00:10,00:12:56,804/2798,55,down,,
June 9,01:40,01:40:09,32/2804,53,down,,
June 9,01:40,01:43:07,866/2804,57,down,,
June 9,01:40,01:44:26,1240/2804,52,up,,
June 9,01:40,01:46:48,1907/2804,51,up,,
June 9,01:40,01:48:15,2315/2804,50,up,,
June 9,01:40,01:49:01,2529/2804,50,up,,
June 9,01:40,01:49:18,2610/2804,52,up,,
June 9,01:10,01:14:16,1181/2800,52,up,,
June 9,02:10,02:15:05,1394/2773,51,up,*File name is 021006,
June 9,02:10,02:16:05,1674/2773,55,up,,
June 9,02:10,02:16:25,1763/2773,54,down,,
June 9,02:10,02:16:16,1720/2773,47,↻,,
June 9,02:10,02:16:49,1878/2773,60,down,,
June 9,02:10,02:17:08,1967/2773,54,up,,
June 9,02:20,02:20:36,155/2805,58,up,,
June 9,02:20,02:21:48,501/2805,60,up,,
June 9,02:20,02:22:05,585/2805,60,down,,
June 9,02:20,02:23:57,1099/2805,56,up,,
June 9,02:20,02:25:09,1490/2805,50,up,,
June 9,02:20,02:26:07,1700/2805,55,up,,
June 9,02:20,02:28:39,2420/2805,50,up,,
June 9,02:20,02:28:54,2490/2805,49,up,,
June 9,03:00,03:00:14,55/2818,58,up,,
June 9,03:00,03:00:27,118/2818,56,up,,
June 9,03:00,03:04:14,1189/2818,59,up,,
June 9,03:00,03:04:28,1254/2818,48,up,,
June 9,04:20,04:25:18,1491/2827,45,up,,
June 9,04:20,04:25:35,1571/2827,50,up,,
June 9,04:50,04:50:32,145/2801,54,up,,
June 9,04:50,04:53:27,967/2801,56,up,,
June 9,04:50,04:57:48,2185/2801,58,down,,
June 9,04:50,04:58:31,2389/2801,72,up,otter,
June 9,05:10,05:17:07,2010/2821,56,down,*had to correct start frame to see both fish (1960/2821),
June 9,05:10,05:17:07,2011/2821,49,down,,
June 9,20:20,20:25:30,1537/2783,92,up,,
June 9,20:20,20:25:30,1537/2783,81,up,,
June 9,21:20,21:27:51,2203/2808,79,up,,
June 9,21:20,21:28:53,2492/2808,80,up,,
June 9,23:10,23:19:12,2401/2791,86,down,*had to correct start frame to see fish (2578/2821),
June 10,00:20,00:20:10,37/2795,51,up,,
June 10,00:20,00:20:31,135/2795,49,up,,
June 10,00:20,00:23:39,1013/2795,45,down,,
June 10,00:20,00:24:04,1132/2795,48,up,,
June 10,00:20,00:26:46,1892/2795,45,up,,
June 10,00:20,00:26:51,1913/2795,46,up,,
June 10,00:00,00:04:19,1201/2792,57,up,,
June 10,00:00,00:05:40,1585/2729,60,up,,
June 10,00:00,00:05:44,1601/2729,59,up,,
June 10,00:00,00:05:47,1619/2729,55,up,,
June 10,02:30,02:31:20,355/2786,59,up,,
June 10,02:30,02:36:23,1764/2786,52,up,,
June 10,02:30,02:36:47,1882/2786,59,up,,
June 10,02:50,02:51:02,277/2788,58,up,,
June 10,02:50,02:58:31,2383/2788,54,up,,
June 10,03:10,03:12:14,622/2786,57,up,,
June 10,03:10,03:19:37,2680/2786,48,up,,
June 10,03:40,03:41:32,416/2799,51,up,,
June 10,03:40,03:48:05,2261/2799,49,up,,
June 10,03:40,03:48:07,2271/2799,54,up,,
June 10,04:50,04:51:17,352/2797,53,up,*End frame adjusted to 2777,
June 10,04:50,04:56:46,1877/2777,52,down,,
June 10,04:50,04:56:46,1877/2777,47,down,,
June 10,04:50,04:56:46,1879/2777,53,down,,
June 10,04:10,04:15:12,1427/2762,54,up,,
June 10,21:30,21:31:45,492/2794,46,down,,
June 10,22:00,21:35:15,1464/2974,67,down,object,
June 10,22:00,22:00:33,125/2782,56,up,,
June 10,22:00,22:00:33,125/2782,50,up,,
